Business_Name,Country_Region,Category,Contact_Person_Or_Title,Primary_Outreach_Email,Secondary_Email,WhatsApp_Number,Phone_Number,Website_URL,Instagram_Page,Facebook_Page,AI_Visibility_Gap_Signal,Estimated_Monthly_Bleed_USD,Tailored_Pitch_Hook,Touch_1_WhatsApp_Status,Touch_2_Email_Status,Touch_3_Followup_Status,Notes
Karibu Camps & Lodges,Tanzania (Serengeti / Ngorongoro),Luxury Safari Camp & Lodge Collection,General Manager / Reservations Lead,jambo@karibucamps.com,info@karibucamps.com,2.55759E+11,2.55789E+11,https://karibucamps.com,https://instagram.com/karibucamps,https://facebook.com/karibucamps,ChatGPT cites Booking.com aggregators for Serengeti luxury camps; direct Karibu domain missing from top 3 AI answers.,4200,"Karibu Camps has world-class Serengeti properties, but travelers using ChatGPT and Perplexity are being routed to OTAs taking 18% per tent.",Ready to Send (2:45 PM EAT),Ready to Send (6:30 PM EAT),Scheduled (Day 3),High ticket luxury camp. Great candidate for GEO Schema + AI allowlist.
Into Wild Africa Luxury Safari,Tanzania (Arusha / Serengeti),Safari Lodge & Mobile Tented Camps,Managing Director / Reservations,info@intowildafrica.com,reservations@intowildafrica.com,2.55755E+11,2.55755E+11,https://intowildafrica.com,https://instagram.com/intowildafrica,https://facebook.com/intowildafrica,Missing JSON-LD Lodging Schema; Perplexity cites international aggregators when asked for authentic Tanzania bush camps.,3600,International safari inquiries in Arusha are bypassing your direct site because AI search engines lack structured entity markup for Into Wild Africa.,Ready to Send (2:45 PM EAT),Ready to Send (6:30 PM EAT),Scheduled,Arusha hub operator. Excellent WhatsApp responsiveness.
Tarangire Safari Lodge,Tanzania (Tarangire National Park),Classic Safari Lodge & Tented Camp,General Manager / Bookings Team,bookings@tarangiresafarilodge.com,info@tarangiresafarilodge.com,2.55659E+11,2.55659E+11,https://tarangiresafarilodge.com,https://instagram.com/tarangiresafarilodge,https://facebook.com/tarangiresafarilodge,AI Overviews cite safari directory aggregators; direct booking rates unindexed by Perplexity.,3900,"Tarangire Safari Lodge has iconic river views, but travelers researching Tarangire on AI engines are pushed to OTAs taking $3,900/mo.",Ready to Send (2:45 PM EAT),Ready to Send (6:30 PM EAT),Scheduled,Iconic park lodge with high direct booking potential.
Neptune Ngorongoro Luxury Lodge,Tanzania (Ngorongoro Conservation Area),All-Inclusive Luxury Safari Lodge,Reservations Manager / Director,res.ngorongoro@neptunehotels.com,info.ngorongoro@neptunehotels.com,2.55752E+11,2.55752E+11,https://neptunehotels.com,https://instagram.com/neptunengorongoro,https://facebook.com/neptunehotels,High-ticket crater luxury queries in ChatGPT cite OTA portals; direct suite rates bypassed.,5800,Neptune Ngorongoro is losing high-ticket direct bookings to Booking.com on premium suites because AI search lacks your live direct schema.,Ready to Send (2:45 PM EAT),Ready to Send (6:30 PM EAT),Scheduled,Ultra-luxury lodge. Very high monthly bleed figure.
Nyota Boutique Hotel,"Tanzania (Nungwi, Zanzibar)",Boutique Beach Resort & Spa,Owner / General Manager,info@nyotazanzibar.com,reservations@nyotazanzibar.com,2.55713E+11,2.55713E+11,https://nyotazanzibar.com,https://instagram.com/nyotaboutiquehotel,https://facebook.com/nyotaboutiquehotel,Google Local 3-Pack rank #8 in Zanzibar boutique category; ChatGPT cites TripAdvisor lists.,2900,"Nyota has incredible oceanfront reviews, but European honeymooners planning via AI are guided to Booking.com instead of your direct engine.",Ready to Send (2:45 PM EAT),Ready to Send (6:30 PM EAT),Scheduled,Fast WhatsApp responses in Nungwi.
Sharazad Boutique Hotel,"Tanzania (Jambiani, Zanzibar)",Luxury Eco Boutique Hotel & Villas,Managing Director / Host,reservations@sharazadboutiquehotel.com,info@sharazadboutiquehotel.com,2.5578E+11,2.5578E+11,https://sharazadboutiquehotel.com,https://instagram.com/sharazadboutiquehotel,https://facebook.com/sharazadboutiquehotel,High OTA dependency; lacking AI bot schema allowlist. Leaking thousands monthly to OTAs on Jambiani bookings.,4800,Sharazad is paying thousands monthly to OTAs on Jambiani bookings that should originate directly from search and AI travel prompts.,Ready to Send (2:45 PM EAT),Ready to Send (6:30 PM EAT),Scheduled,Top eco-boutique property on the island.
Kendwa Rocks Beach Hotel,"Tanzania (Kendwa, Zanzibar)",Beachfront Resort & Event Hotel,Bookings Director / General Manager,booking@kendwarocks.com,info@kendwarocks.com,2.55777E+11,2.55774E+11,https://kendwarocks.com,https://instagram.com/kendwarocks,https://facebook.com/kendwarocksbeachhotel,ChatGPT cites third-party nightlife and hotel booking portals; direct room packages omitted.,5100,"Kendwa Rocks has high brand awareness, but international travelers searching on AI are routed to Agoda & Booking.com taking 20%.",Ready to Send (2:45 PM EAT),Ready to Send (6:30 PM EAT),Scheduled,High volume beachfront property.
B4 Beach Club & Boutique Hotel,"Tanzania (Paje, Zanzibar)",Boutique Hotel & Beachfront Lounge,General Manager / Host,contact@b4beach.club,reservations@b4beach.club,2.55779E+11,2.55779E+11,https://b4beach.club,https://instagram.com/b4beachclub,https://facebook.com/b4beachclub,Missing schema markup for boutique lodging; Perplexity categorizes only as a club rather than hotel stay.,3200,"B4 Beach Club is missing lodging entity schema, causing AI search engines to overlook your rooms and route guests to nearby OTA listings.",Ready to Send (2:45 PM EAT),Ready to Send (6:30 PM EAT),Scheduled,Paje kitesurfing and boutique hub.
Top Guides Bushcamps,Tanzania (Arusha / Serengeti),Bespoke Safari Bushcamps & Guided Tours,Director of Operations,Info@tbcamps.com,reservations@tbcamps.com,2.55685E+11,2.55682E+11,https://topguidesbushcamps.com,https://instagram.com/topguidesbushcamps,https://facebook.com/topguidesbushcamps,Perplexity search for bespoke Tanzania private safari guides returns zero citation for tbcamps.com.,3100,"Top Guides Bushcamps has premier safari guides, but private itinerary queries in AI search are being captured by UK/US broker sites.",Ready to Send (2:45 PM EAT),Ready to Send (6:30 PM EAT),Scheduled,Expert guiding safari company.
Mara Nyika Camp (The Boutique Safari),Kenya (Naboisho / Maasai Mara),Luxury Boutique Safari Camp,General Manager / Camp Host,bookings@theboutiquesafari.com,info@theboutiquesafari.com,2.54713E+11,2.54713E+11,https://theboutiquesafari.com,https://instagram.com/theboutiquesafari,https://facebook.com/theboutiquesafari,ChatGPT cites SafariBookings & aggregator blogs; direct booking engine missing from AI results for Naboisho conservancy.,5400,"Mara Nyika Camp offers premier Maasai Mara luxury, but high-intent international guests searching on ChatGPT are sent to intermediary agents taking 20%.",Ready to Send (2:45 PM EAT),Ready to Send (6:30 PM EAT),Scheduled,Premier conservancy property.
